ExecuteDtTm,t,n,SortTime,CombineTime
09/03/2013 06:07:24,1,900000,353,173
09/03/2013 06:07:26,1,900000,352,182
09/03/2013 06:07:29,1,900000,335,179
09/03/2013 06:07:31,1,900000,337,188
09/03/2013 06:07:34,1,900000,343,179
09/03/2013 06:07:36,1,1000000,362,183
09/03/2013 06:07:39,1,1000000,362,187
09/03/2013 06:07:41,1,1000000,389,188
09/03/2013 06:07:44,1,1000000,388,180
09/03/2013 06:07:47,1,1000000,360,189
09/03/2013 06:07:49,1,1000000,367,185
09/03/2013 06:07:52,1,1000000,360,184
09/03/2013 06:07:54,1,1000000,363,185
09/03/2013 06:07:57,1,1000000,403,177
09/03/2013 06:07:59,1,1000000,402,163
09/03/2013 06:08:02,1,1000000,363,178
09/03/2013 06:08:04,1,1000000,364,184
09/03/2013 06:08:07,1,1000000,363,187
09/03/2013 06:08:10,1,1000000,405,188
09/03/2013 06:08:12,1,1000000,407,180
09/03/2013 06:08:15,1,1000000,398,182
09/03/2013 06:08:17,1,1000000,364,180
09/03/2013 06:08:20,1,1000000,357,179
09/03/2013 06:08:22,1,1000000,370,184
09/03/2013 06:08:25,1,1000000,387,190
09/03/2013 06:08:28,1,2000000,728,262
09/03/2013 06:08:31,1,2000000,757,265
09/03/2013 06:08:34,1,2000000,725,261
09/03/2013 06:08:37,1,2000000,724,264
09/03/2013 06:08:41,1,2000000,754,269
09/03/2013 06:08:44,1,2000000,751,272
09/03/2013 06:08:47,1,2000000,754,262
09/03/2013 06:08:50,1,2000000,759,260
09/03/2013 06:08:53,1,2000000,719,265
09/03/2013 06:08:56,1,2000000,735,261
09/03/2013 06:09:00,1,3000000,1063,333
09/03/2013 06:09:03,1,3000000,1036,331
09/03/2013 06:09:07,1,3000000,1020,341
09/03/2013 06:09:10,1,3000000,1026,343
09/03/2013 06:09:14,1,3000000,1061,338
09/03/2013 06:09:17,1,3000000,1039,331
09/03/2013 06:09:21,1,3000000,1031,332
09/03/2013 06:09:24,1,3000000,1028,336
09/03/2013 06:09:28,1,3000000,1036,336
09/03/2013 06:09:32,1,3000000,1096,346
09/03/2013 06:09:36,1,4000000,1331,409
09/03/2013 06:09:40,1,4000000,1341,431
09/03/2013 06:09:44,1,4000000,1330,411
09/03/2013 06:09:48,1,4000000,1318,443
09/03/2013 06:09:52,1,4000000,1347,413
09/03/2013 06:09:56,1,4000000,1334,444
09/03/2013 06:10:00,1,4000000,1316,413
09/03/2013 06:10:04,1,4000000,1330,417
09/03/2013 06:10:08,1,4000000,1334,429
09/03/2013 06:10:12,1,4000000,1327,418
09/03/2013 06:10:16,1,5000000,1606,418
09/03/2013 06:10:21,1,5000000,1687,448
09/03/2013 06:10:26,1,5000000,1610,427
09/03/2013 06:10:30,1,5000000,1693,447
09/03/2013 06:10:35,1,5000000,1698,458
09/03/2013 06:10:39,1,5000000,1696,454
09/03/2013 06:10:44,1,5000000,1676,448
09/03/2013 06:10:48,1,5000000,1614,420
09/03/2013 06:10:53,1,5000000,1689,459
09/03/2013 06:10:57,1,5000000,1595,424
09/03/2013 06:11:02,1,6000000,1934,560
09/03/2013 06:11:07,1,6000000,1956,572
09/03/2013 06:11:12,1,6000000,1986,576
09/03/2013 06:11:17,1,6000000,1953,588
09/03/2013 06:11:22,1,6000000,1935,577
09/03/2013 06:11:27,1,6000000,1940,565
09/03/2013 06:11:32,1,6000000,1939,574
09/03/2013 06:11:37,1,6000000,1935,561
09/03/2013 06:11:42,1,6000000,1944,577
09/03/2013 06:11:47,1,6000000,1929,582
09/03/2013 06:11:53,1,7000000,2319,577
09/03/2013 06:11:59,1,7000000,2322,576
09/03/2013 06:12:04,1,7000000,2313,579
09/03/2013 06:12:10,1,7000000,2329,582
09/03/2013 06:12:15,1,7000000,2349,574
09/03/2013 06:12:21,1,7000000,2305,574
09/03/2013 06:12:26,1,7000000,2309,573
09/03/2013 06:12:32,1,7000000,2312,578
09/03/2013 06:12:37,1,7000000,2323,578
09/03/2013 06:12:43,1,7000000,2330,581
09/03/2013 06:12:48,1,8000000,2554,661
