,n,TotalTime
8/23/2013 12:28,30000000,1330
8/23/2013 12:29,40000000,1600
8/23/2013 12:34,40000000,2128
8/23/2013 12:43,40000000,2233
8/23/2013 12:44,40000000,2100
8/23/2013 12:52,40000000,1785
8/23/2013 12:53,40000000,2058
8/23/2013 12:56,40000000,2038
8/23/2013 1:01,40000000,2377
8/23/2013 1:10,40000000,1594
8/23/2013 1:13,40000000,1619
8/23/2013 1:16,50000000,3101
8/23/2013 1:19,50000000,2676
8/23/2013 1:31,50000000,2715
8/23/2013 1:36,50000000,2044
8/23/2013 1:41,50000000,2600
8/23/2013 1:44,50000000,3248
8/23/2013 1:47,50000000,1971
8/23/2013 1:55,50000000,2637
8/23/2013 1:57,50000000,2549
8/23/2013 2:03,50000000,2665
8/23/2013 2:09,60000000,2472
8/23/2013 2:11,60000000,3908
8/23/2013 2:18,60000000,3122
8/23/2013 2:19,60000000,3146
8/23/2013 2:30,60000000,2959
8/23/2013 2:34,60000000,3918
8/23/2013 2:36,60000000,2885
8/23/2013 2:41,60000000,3198
8/23/2013 2:44,60000000,3217
8/23/2013 2:45,60000000,3251
8/23/2013 2:53,70000000,3795
8/23/2013 2:55,70000000,4126
8/23/2013 2:56,70000000,3875
8/23/2013 3:00,70000000,3388
8/23/2013 3:04,70000000,2625
8/23/2013 3:06,70000000,3242
8/23/2013 3:08,70000000,2918
8/23/2013 3:09,70000000,2882
8/23/2013 3:10,70000000,4551
8/23/2013 3:17,70000000,4539
8/23/2013 3:23,80000000,5019
8/23/2013 3:30,80000000,3447
8/23/2013 3:33,80000000,4355
8/23/2013 3:38,80000000,4546
8/23/2013 3:41,80000000,5497
8/23/2013 3:47,80000000,5144
8/23/2013 3:55,80000000,3736
8/23/2013 4:00,80000000,4545
8/23/2013 4:02,80000000,3772
8/23/2013 4:05,80000000,4229
8/23/2013 4:07,90000000,5431
8/23/2013 4:22,90000000,3901
8/23/2013 4:24,90000000,5962
8/23/2013 4:28,90000000,4027
8/23/2013 4:34,90000000,5547
8/23/2013 4:41,90000000,5801
8/23/2013 4:51,90000000,5008
8/23/2013 4:53,90000000,5077
8/23/2013 4:55,90000000,4512
8/23/2013 5:00,90000000,4200
8/23/2013 5:04,100000000,6317
8/23/2013 5:06,100000000,5362
8/23/2013 5:13,100000000,5665
8/23/2013 5:15,100000000,5203
8/23/2013 5:22,100000000,6344
8/23/2013 5:27,100000000,4217
8/23/2013 5:30,100000000,4390
8/23/2013 5:40,100000000,4800
8/23/2013 5:42,100000000,5551
8/23/2013 5:44,100000000,6749
