t,n,SortTime,CombineTime
4,100000,35018754,4450417
4,100000,29637240,4295937
4,100000,33120190,5796687
4,100000,32672294,4193842
4,100000,31520636,5768749
4,100000,33997398,4061438
4,100000,34083955,5751191
4,100000,35185105,5817315
4,100000,32826880,5760911
4,100000,36615283,5773252
4,100000,33494186,4268283
4,100000,31641857,5717114
4,100000,36179402,5824718
4,100000,30317356,4302140
4,100000,32690262,5763544
4,100000,32651672,4303740
4,200000,61527244,9893465
4,200000,57601925,10450273
4,200000,60032200,7786729
4,200000,59717834,8056861
4,200000,60106399,7788466
4,200000,57711643,10008081
4,200000,63191686,7707458
4,200000,61132062,10391346
4,200000,59266348,8365611
4,200000,59182937,8547021
4,300000,92308223,11087054
4,300000,95832370,11145545
4,300000,91210073,11497703
4,300000,87755683,11477493
4,300000,93900482,11672741
4,300000,94083538,11045678
4,300000,85023289,11108748
4,300000,95219691,11075811
4,300000,91689496,11537279
4,300000,86875833,10956750
4,400000,110834215,15086750
4,400000,123063852,16978362
4,400000,114148008,14958975
4,400000,114899213,15990025
4,400000,112673377,14968293
4,400000,117411906,14973669
4,400000,114345811,15103449
4,400000,112715256,14972999
4,400000,114109351,15161181
4,400000,112848203,15117702
4,500000,139826396,18545988
4,500000,136023807,18580842
4,500000,132893219,18641421
4,500000,382996766,18418408
4,500000,132894789,18478307
4,500000,135757918,18461493
4,500000,147767639,18501607
4,500000,134256342,18515696
4,500000,142199425,18582039
4,500000,139477941,18484208
4,600000,175677106,21807973
4,600000,180955334,21820081
4,600000,159035763,22356885
4,600000,156569101,22370386
4,600000,166652888,22413843
4,600000,161875236,23058356
4,600000,172260961,22292117
4,600000,167395304,22500602
4,600000,173247239,22343283
4,600000,179639478,21810216
4,700000,191497364,25636132
4,700000,204871676,25676642
4,700000,191622884,27183786
4,700000,634040195,25843679
4,700000,198427316,26842127
4,700000,192373532,25867878
4,700000,190213338,25560655
4,700000,204594420,25862422
4,700000,183586657,25623661
4,700000,195294395,25565134
4,800000,218817110,29851541
4,800000,221289347,29154518
4,800000,234776764,28851467
4,800000,241499925,28926054
4,800000,219659712,28935404
4,800000,215570955,28836601
4,800000,442088527,28944217
4,800000,460385357,29093187
4,800000,222500111,28853200
4,800000,217552306,29042527
4,900000,242759140,33193621
4,900000,249623289,33126549
4,900000,461904977,33256019
4,900000,251161470,34431509
4,900000,248224547,33189181
4,900000,474971415,33060807
4,900000,247764409,33165366
4,900000,237941840,33015422
4,900000,254497272,34359871
4,900000,244330799,33100930
4,1000000,282152983,36723173
4,1000000,243971878,36945544
4,1000000,273681957,38085157
4,1000000,501207765,36754190
4,1000000,261170054,36578071
4,1000000,266876564,36676838
4,1000000,262482597,36942275
4,1000000,273595411,36708529
4,1000000,259043084,36624783
4,1000000,254952725,37765709
4,1000000,268781877,36733784
4,1000000,243869297,36886948
4,1000000,266168944,36687260
4,1000000,249370076,36617827
4,1000000,255836552,36671460
4,1000000,278178473,36873690
4,1000000,267130507,36695932
4,1000000,264865835,36788980
4,1000000,487708913,36706461
4,1000000,256371942,36791703
4,2000000,511644236,72984479
4,2000000,562963025,72660876
4,2000000,537583520,73025542
4,2000000,512605080,72557960
4,2000000,573578874,72774181
4,2000000,542102815,72299376
4,2000000,533906805,72541714
4,2000000,528200382,72779971
4,2000000,708156948,72713153
4,2000000,548935784,72384693
4,3000000,860367941,108718978
4,3000000,851395405,108444748
4,3000000,834160695,108712087
4,3000000,878036864,108725659
4,3000000,918355795,108551130
4,3000000,855856829,108462305
4,3000000,839103085,108625901
4,3000000,846844565,108579470
4,3000000,842015184,108641258
4,3000000,805036234,108436197
4,4000000,1078283072,144380366
4,4000000,1084803792,144146370
4,4000000,1057792421,144261409
4,4000000,1161908124,144345649
4,4000000,1074835724,144270085
4,4000000,1056311020,144357307
4,4000000,1216921851,144311155
4,4000000,1128730987,145494462
4,4000000,1084176161,144137598
4,4000000,1107270530,144624263
4,5000000,1257424329,180485306
4,5000000,1355092643,180477352
4,5000000,1409659960,179693401
4,5000000,1408761864,179790753
4,5000000,1456942430,180233604
4,5000000,1418474099,179821566
