,T,N,SortTime,CombineTime,
8/21/2013 12:07,8,300,4,12,12
8/21/2013 12:07,8,300,7,11,11
8/21/2013 12:07,8,300,18,14,14
8/21/2013 12:07,8,300,13,12,12
8/21/2013 12:07,8,300,21,12,12
8/21/2013 12:07,8,300,22,26,26
8/21/2013 12:07,8,300,18,15,15
8/21/2013 12:07,8,300,23,12,12
8/21/2013 12:07,8,300,8,12,12
8/21/2013 12:07,8,300,10,12,12
8/21/2013 12:07,8,400,27,15,15
8/21/2013 12:07,8,400,25,14,14
8/21/2013 12:07,8,400,12,13,13
8/21/2013 12:07,8,400,6,14,14
8/21/2013 12:07,8,400,10,16,16
8/21/2013 12:07,8,400,18,16,16
8/21/2013 12:07,8,400,10,38,38
8/21/2013 12:07,8,400,5,15,15
8/21/2013 12:07,8,400,30,25,25
8/21/2013 12:07,8,400,19,26,26
8/21/2013 12:07,8,500,16,16,16
8/21/2013 12:07,8,500,22,19,19
8/21/2013 12:07,8,500,7,15,15
8/21/2013 12:07,8,500,6,15,15
8/21/2013 12:07,8,500,24,30,30
8/21/2013 12:07,8,500,8,16,16
8/21/2013 12:07,8,500,15,16,16
8/21/2013 12:07,8,500,6,14,14
8/21/2013 12:07,8,500,6,16,16
8/21/2013 12:07,8,500,11,16,16
8/21/2013 12:07,8,600,21,16,16
8/21/2013 12:07,8,600,17,18,18
8/21/2013 12:07,8,600,20,17,17
8/21/2013 12:07,8,600,20,17,17
8/21/2013 12:07,8,600,22,33,33
8/21/2013 12:07,8,600,10,18,18
8/21/2013 12:07,8,600,10,17,17
8/21/2013 12:07,8,600,8,16,16
8/21/2013 12:07,8,600,5,17,17
8/21/2013 12:07,8,600,15,19,19
8/21/2013 12:07,8,700,20,18,18
8/21/2013 12:07,8,700,10,20,20
8/21/2013 12:07,8,700,20,17,17
8/21/2013 12:07,8,700,24,17,17
8/21/2013 12:07,8,700,20,19,19
8/21/2013 12:07,8,700,20,18,18
8/21/2013 12:07,8,700,23,24,24
8/21/2013 12:07,8,700,28,30,30
8/21/2013 12:07,8,700,22,18,18
8/21/2013 12:07,8,700,33,26,26
8/21/2013 12:07,8,800,25,30,30
8/21/2013 12:07,8,800,16,20,20
8/21/2013 12:07,8,800,10,7,7
8/21/2013 12:07,8,800,7,22,22
8/21/2013 12:07,8,800,20,20,20
8/21/2013 12:07,8,800,8,23,23
8/21/2013 12:07,8,800,6,20,20
8/21/2013 12:07,8,800,7,35,35
8/21/2013 12:07,8,800,8,20,20
8/21/2013 12:07,8,800,10,22,22
8/21/2013 12:07,8,900,16,25,25
8/21/2013 12:07,8,900,21,35,35
8/21/2013 12:07,8,900,21,22,22
8/21/2013 12:07,8,900,15,21,21
8/21/2013 12:07,8,900,10,22,22
8/21/2013 12:07,8,900,16,23,23
8/21/2013 12:07,8,900,8,21,21
8/21/2013 12:07,8,900,9,22,22
8/21/2013 12:07,8,900,10,22,22
8/21/2013 12:07,8,900,18,22,22
8/21/2013 12:07,16,100,13,9,9
8/21/2013 12:07,16,100,9,9,9
8/21/2013 12:07,16,100,13,10,10
8/21/2013 12:07,16,100,11,9,9
8/21/2013 12:07,16,100,7,9,9
8/21/2013 12:07,16,100,10,8,8
8/21/2013 12:07,16,100,19,12,12
8/21/2013 12:07,16,100,15,9,9
8/21/2013 12:07,16,100,13,9,9
8/21/2013 12:07,16,100,14,11,11
8/21/2013 12:07,16,200,11,11,11
8/21/2013 12:07,16,200,10,11,11
8/21/2013 12:07,16,200,9,10,10
8/21/2013 12:07,16,200,10,10,10
8/21/2013 12:07,16,200,23,10,10
8/21/2013 12:07,16,200,19,11,11
8/21/2013 12:07,16,200,13,11,11
8/21/2013 12:07,16,200,11,11,11
8/21/2013 12:07,16,200,12,12,12
8/21/2013 12:07,16,200,12,10,10
8/21/2013 12:07,16,300,17,12,12
8/21/2013 12:07,16,300,6,12,12
8/21/2013 12:07,16,300,16,13,13
8/21/2013 12:07,16,300,12,13,13
8/21/2013 12:07,16,300,9,13,13
8/21/2013 12:07,16,300,13,14,14
8/21/2013 12:07,16,300,15,14,14
8/21/2013 12:07,16,300,9,13,13
8/21/2013 12:07,16,300,12,16,16
8/21/2013 12:07,16,300,11,13,13
8/21/2013 12:07,16,400,9,17,17
8/21/2013 12:07,16,400,10,16,16
8/21/2013 12:07,16,400,9,17,17
8/21/2013 12:07,16,400,21,16,16
8/21/2013 12:07,16,400,8,17,17
8/21/2013 12:07,16,400,26,15,15
8/21/2013 12:07,16,400,15,15,15
8/21/2013 12:07,16,400,8,16,16
8/21/2013 12:07,16,400,8,23,23
8/21/2013 12:07,16,400,8,17,17
8/21/2013 12:07,16,500,8,20,20
8/21/2013 12:07,16,500,14,21,21
8/21/2013 12:07,16,500,12,20,20
8/21/2013 12:07,16,500,7,17,17
8/21/2013 12:07,16,500,31,18,18
8/21/2013 12:07,16,500,16,18,18
