t,n,SortTime,CombineTime,TotalTime
8,6000,4265428,582373,4847801
8,6000,4479083,720615,5199698
8,6000,4063503,703030,4766533
8,6000,5233932,496315,5730247
8,6000,4378903,738659,5117562
8,6000,4154901,713257,4868158
8,6000,4755039,700186,5455225
8,6000,4284708,498715,4783423
8,6000,5082856,499480,5582336
8,6000,4196013,555267,4751280
8,6000,4214458,732998,4947456
8,6000,4617918,719517,5337435
8,6000,4521884,561002,5082886
8,6000,5405722,731883,6137605
8,6000,4412189,599223,5011412
8,6000,4534703,500287,5034990
8,6000,4557458,715899,5273357
8,6000,4691827,708957,5400784
8,6000,4467952,525988,4993940
8,6000,4593264,711143,5304407
8,6000,4515256,612983,5128239
8,6000,4424168,705997,5130165
8,6000,3872393,705955,4578348
8,6000,5434496,725480,6159976
8,6000,4172009,727466,4899475
8,6000,4399627,506476,4906103
8,6000,4548136,713578,5261714
8,6000,5149601,510756,5660357
8,6000,4140244,704402,4844646
8,6000,4406266,715731,5121997
8,6000,4727385,503138,5230523
8,6000,4395404,586641,4982045
8,6000,4503382,702754,5206136
8,6000,4771103,515100,5286203
8,6000,4230142,510975,4741117
8,6000,4946101,536704,5482805
8,6000,5252422,576892,5829314
8,6000,4597414,715213,5312627
8,6000,4443738,501948,4945686
8,6000,4388080,702089,5090169
8,6000,4462655,718035,5180690
8,6000,4975883,721916,5697799
8,7000,4847802,813653,5661455
8,7000,5281529,613814,5895343
8,7000,4457076,614684,5071760
8,7000,4647821,837478,5485299
8,7000,4521978,598491,5120469
8,7000,5161696,840751,6002447
8,7000,4881733,588750,5470483
8,7000,4655155,757077,5412232
8,7000,4394404,858725,5253129
8,7000,4651845,847687,5499532
8,7000,5252256,864235,6116491
8,7000,4955751,594483,5550234
8,7000,5265065,836122,6101187
8,7000,5506008,608906,6114914
8,7000,4421513,587835,5009348
8,7000,5028827,601280,5630107
8,7000,4581351,854550,5435901
8,7000,5024497,859482,5883979
8,7000,5367661,857156,6224817
8,7000,4347609,605754,4953363
8,7000,4738516,885429,5623945
8,7000,5648483,816179,6464662
8,7000,6675584,830912,7506496
8,7000,4714103,607715,5321818
8,7000,4475197,827987,5303184
8,7000,5046188,849126,5895314
8,7000,5462812,589200,6052012
8,7000,4661865,714816,5376681
8,7000,4403774,839217,5242991
8,7000,4986931,805878,5792809
8,7000,4583931,846219,5430150
8,7000,4822414,855087,5677501
8,7000,5377784,831428,6209212
8,7000,4536225,837448,5373673
8,7000,5035690,850311,5886001
8,7000,5227979,866167,6094146
8,7000,4832394,840543,5672937
8,7000,4967991,614992,5582983
8,7000,5682417,856137,6538554
8,7000,4762790,843208,5605998
8,7000,4977832,622063,5599895
8,7000,5054741,610748,5665489
8,7000,5065138,830071,5895209
8,7000,4484430,829622,5314052
8,7000,4339106,608915,4948021
8,7000,4476754,808929,5285683
8,7000,4855465,617086,5472551
8,7000,4432486,605168,5037654
8,7000,4482241,859290,5341531
8,7000,4629638,850637,5480275
8,7000,4732708,591120,5323828
8,7000,4632711,840019,5472730
8,7000,4882584,846402,5728986
8,7000,5036545,856118,5892663
8,7000,5778217,825716,6603933
8,7000,4610052,822298,5432350
8,7000,4601875,601400,5203275
8,7000,5061186,837044,5898230
8,7000,5576806,848550,6425356
8,7000,5191022,863909,6054931
8,7000,4126991,598239,4725230
8,7000,4338500,859925,5198425
8,7000,5563319,604281,6167600
8,7000,4517330,717363,5234693
8,7000,4876635,828753,5705388
8,7000,4902774,854421,5757195
8,7000,5734898,827606,6562504
8,7000,5032567,846174,5878741
8,7000,4583555,590878,5174433
8,7000,4611393,829078,5440471
8,7000,4809908,704473,5514381
8,7000,4556718,823673,5380391
8,7000,4715964,596304,5312268
8,7000,4411218,745318,5156536
8,7000,4504187,853565,5357752
8,7000,4547540,639036,5186576
8,7000,4794402,820571,5614973
8,7000,4649698,829709,5479407
8,7000,4956064,588681,5544745
8,7000,4156052,595743,4751795
8,7000,4938967,598794,5537761
8,7000,4366659,819737,5186396
8,7000,4645471,865304,5510775
8,7000,4696311,836929,5533240
8,7000,5046450,724257,5770707
8,7000,4374855,608348,4983203
8,7000,4923594,781988,5705582
8,7000,4582932,835570,5418502
8,7000,4437337,583831,5021168
8,7000,4680848,843954,5524802
8,7000,4408416,853578,5261994
8,7000,4642499,595998,5238497
8,7000,5714854,844390,6559244
8,7000,4596074,604835,5200909
8,7000,4956766,837876,5794642
8,7000,6029945,828116,6858061
8,7000,5786680,852642,6639322
